Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-24,149.04,109.46399999999998,31.23,112.29,12.77,9.68,0.93,14.04,38.67,4.842,8.39,333.0,Very Poor,93.3,77.1,84.8,107.8,77.1,92.1,76.1,76.9,0.0,0,0.0,22.8,13.9,161.0,1009.5,1.3,3.1,283.4,24.7,10,2015-03-24T06:10:44,2015-03-24T18:20:01,0.13,Clear,Clear conditions throughout the day.,clear-day,chennai,188.5267347454981,2015-03,2015,3,24,1,True,False,False
2015-03-26,140.21,160.568,16.83,31.79,25.73,10.91,1.41,11.94,44.52,6.57,8.02,318.0,Very Poor,91.5,77.1,83.7,98.9,77.1,89.2,73.8,73.5,0.0,0,0.0,18.3,11.4,103.1,1012.5,30.4,3.4,273.7,23.8,9,2015-03-26T06:09:23,2015-03-26T18:20:09,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,228.866951945338,2015-03,2015,3,26,3,True,False,False
2015-03-27,266.29,194.136,39.96,50.12,20.48,11.51,1.27,25.45,27.64,0.162,8.35,408.0,Severe,91.5,77.1,84.3,98.9,77.1,89.9,73.4,71.3,0.0,0,0.0,17.7,13.9,89.7,1012.9,35.0,3.9,283.3,24.5,9,2015-03-27T06:08:43,2015-03-27T18:20:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,246.0027070249024,2015-03,2015,3,27,4,True,False,False
2015-03-28,88.65,80.942,22.83,38.75,20.64,10.97,2.21,11.76,27.68,0.7260000000000001,3.6599999999999993,448.0,Severe,93.3,77.1,85.1,103.1,77.1,92.5,75.3,74.0,0.0,0,0.0,20.4,13.9,111.9,1011.6,32.4,3.6,287.9,24.8,10,2015-03-28T06:08:03,2015-03-28T18:20:17,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,231.6536586426518,2015-03,2015,3,28,5,True,False,False
2015-03-31,51.69,56.806,37.45,46.48,16.09,11.41,1.23,6.53,27.62,1.33,6.94,312.0,Very Poor,93.3,80.7,86.4,105.3,87.4,96.8,76.6,73.5,0.0,0,0.0,21.5,13.9,125.8,1010.1,40.0,4.1,248.5,21.4,9,2015-03-31T06:06:04,2015-03-31T18:20:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,225.9182256661165,2015-03,2015,3,31,1,True,False,False
2015-04-01,103.75,89.38400000000001,42.23,36.98,14.4,10.04,1.33,4.65,27.54,5.444,7.37,289.0,Poor,93.3,80.7,86.0,107.8,87.4,96.8,77.2,75.9,0.0,0,0.0,23.0,13.9,134.3,1009.9,38.3,4.2,242.4,21.0,8,2015-04-01T06:05:24,2015-04-01T18:20:32,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,267.90328061640264,2015-04,2015,4,1,2,True,False,False
2015-04-02,106.27,68.456,33.67,38.34,14.8,11.53,1.08,6.22,27.65,3.14,4.72,206.0,Poor,95.1,80.7,87.0,110.2,87.4,97.7,76.9,73.5,0.0,0,0.0,21.9,13.9,173.9,1008.6,32.5,4.3,263.8,22.9,9,2015-04-02T06:04:44,2015-04-02T18:20:36,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,217.6569579840512,2015-04,2015,4,2,3,True,False,False
2015-04-03,42.82,45.122,23.17,35.32,16.86,10.17,1.21,6.23,27.6,1.748,3.118,248.0,Poor,98.7,80.7,88.1,115.6,87.4,100.6,77.8,73.5,0.0,0,0.0,22.1,13.9,176.8,1006.3,31.3,4.2,290.5,25.0,10,2015-04-03T06:04:05,2015-04-03T18:20:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,254.93280173133687,2015-04,2015,4,3,4,True,False,False
2015-04-05,85.86,37.53,17.2,26.79,17.04,12.33,1.14,3.96,27.58,0.096,4.48,302.0,Very Poor,96.9,82.5,88.1,113.1,92.7,101.5,78.4,74.6,0.0,0,0.0,23.9,15.0,164.9,1005.8,35.4,4.2,281.8,24.2,10,2015-04-05T06:02:47,2015-04-05T18:20:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,229.3407243642982,2015-04,2015,4,5,6,True,False,False
2015-04-06,83.19,37.53,9.46,16.84,15.85,12.35,3.42,5.63,23.22,0.14,5.12,193.0,Moderate,95.1,82.5,87.5,107.7,91.1,97.9,76.4,71.3,0.0,0,0.0,25.3,13.9,159.8,1006.7,35.0,4.3,276.4,23.9,10,2015-04-06T06:02:08,2015-04-06T18:20:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,235.14697094288576,2015-04,2015,4,6,0,True,False,False
2015-04-07,48.35,52.586,13.12,18.16,15.86,10.95,7.69,5.73,13.38,0.11,4.691999999999999,151.0,Moderate,95.1,82.5,87.1,113.1,91.1,99.1,77.8,75.2,0.0,0,0.0,24.2,13.9,153.4,1007.5,36.7,4.2,278.2,24.1,10,2015-04-07T06:01:30,2015-04-07T18:20:58,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,262.2369170068296,2015-04,2015,4,7,1,True,False,False
2015-04-08,73.66,39.10999999999999,8.54,17.07,17.64,10.83,1.1,3.76,24.4,1.564,4.276,137.0,Moderate,95.1,82.5,87.1,107.8,91.1,98.9,77.4,73.9,0.0,0,0.0,23.7,13.9,145.3,1009.3,38.3,4.2,261.4,22.6,8,2015-04-08T06:00:51,2015-04-08T18:21:02,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,202.5243660909184,2015-04,2015,4,8,2,True,False,False
2015-04-09,66.72,64.11999999999999,12.08,16.79,15.37,12.76,5.14,4.31,22.29,8.61,7.39,208.0,Poor,93.3,82.5,87.2,107.8,92.7,99.5,77.7,74.2,0.008,100,4.17,22.6,13.9,127.5,1009.7,40.9,4.4,247.0,21.3,9,2015-04-09T06:00:14,2015-04-09T18:21:07,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,chennai,260.22564201758047,2015-04,2015,4,9,3,True,False,False
2015-04-10,80.79,29.724,12.98,16.3,17.21,10.7,6.35,5.7,19.22,0.076,3.012,172.0,Moderate,93.3,80.7,86.6,105.3,87.4,96.5,76.3,72.7,0.0,0,0.0,21.7,15.0,150.0,1010.2,31.3,4.5,286.2,24.8,10,2015-04-10T05:59:36,2015-04-10T18:21:12,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,232.4429525873595,2015-04,2015,4,10,4,True,False,False
