Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-31,47.03,90.022,9.71,16.94,26.65,13.423999999999998,0.81,13.2,25.13,0.44,4.31,120.0,Moderate,96.9,75.3,84.1,97.4,75.3,84.0,63.6,55.1,0.024,100,16.67,14.3,9.2,110.3,1013.5,66.2,3.2,248.6,21.6,10,2015-03-31T06:11:57,2015-03-31T18:29:08,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,hyderabad,228.693575672826,2015-03,2015,3,31,1,True,False,False
2015-04-01,40.62,67.308,8.41,13.18,21.59,14.226,0.81,7.89,34.19,0.55,3.57,112.0,Moderate,103.9,73.7,88.8,106.0,73.7,89.3,62.6,46.4,0.0,0,0.0,11.9,8.1,158.3,1013.0,62.5,3.5,247.7,21.5,9,2015-04-01T06:11:10,2015-04-01T18:29:20,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,272.2424494218379,2015-04,2015,4,1,2,True,False,False
2015-04-06,83.0,116.046,9.72,12.91,22.63,18.702,0.89,8.89,33.67,0.2,2.02,141.0,Moderate,104.1,77.1,88.6,111.2,77.1,91.9,67.3,52.5,0.004,100,4.17,16.6,9.2,162.8,1008.5,19.2,3.2,292.5,25.2,10,2015-04-06T06:07:16,2015-04-06T18:30:18,0.56,Rain,Clear conditions throughout the day with late afternoon rain.,rain,hyderabad,241.9436089500597,2015-04,2015,4,6,0,True,False,False
2015-04-07,112.21,128.304,13.85,17.06,31.52,14.578,1.05,11.21,30.68,0.2,1.8,197.0,Moderate,104.1,75.5,87.3,103.7,75.5,89.2,66.9,54.7,0.0,0,0.0,18.3,11.4,131.7,1010.1,29.4,3.4,260.3,22.5,9,2015-04-07T06:06:30,2015-04-07T18:30:30,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,263.36635747459553,2015-04,2015,4,7,1,True,False,False
2015-04-08,38.67,70.938,8.38,9.28,17.66,12.654,0.73,7.58,23.53,0.22,2.2,177.0,Moderate,98.7,75.3,85.0,96.6,75.3,84.8,62.6,52.8,0.0,0,0.0,19.7,10.3,113.5,1012.4,38.6,3.4,286.9,24.7,10,2015-04-08T06:05:45,2015-04-08T18:30:42,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,204.69608842567536,2015-04,2015,4,8,2,True,False,False
2015-04-09,33.88,76.774,18.44,13.18,31.61,15.378,0.8,8.28,21.58,1.2560000000000002,6.494,104.0,Moderate,102.3,75.3,85.5,104.1,75.3,86.8,66.0,56.6,0.0,0,0.0,17.2,9.2,122.5,1013.0,42.5,3.4,277.0,23.7,10,2015-04-09T06:05:00,2015-04-09T18:30:55,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,261.7732347347542,2015-04,2015,4,9,3,True,False,False
2015-04-10,30.88,60.148,22.5,12.34,34.32,16.598000000000003,0.76,8.46,22.8,0.892,5.348,106.0,Moderate,100.3,73.5,83.8,106.1,73.5,86.2,69.3,65.4,0.079,100,4.17,16.3,10.3,141.3,1013.3,53.5,3.3,276.3,23.9,9,2015-04-10T06:04:15,2015-04-10T18:31:07,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,hyderabad,236.2000295490301,2015-04,2015,4,10,4,True,False,False
2015-04-11,42.88,79.66,14.84,17.22,32.06,13.668,0.87,8.13,32.93,1.618,9.81,105.0,Moderate,88.1,73.5,79.8,92.9,73.5,81.0,66.5,65.0,0.114,100,16.67,21.3,11.4,62.5,1013.8,76.3,2.9,171.0,14.9,5,2015-04-11T06:03:30,2015-04-11T18:31:20,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,hyderabad,271.89445712198784,2015-04,2015,4,11,5,True,False,False
2015-04-12,26.38,68.886,4.77,8.78,13.55,12.464,1.41,2.93,32.86,1.048,6.698,128.0,Moderate,82.5,66.3,72.4,85.5,66.3,72.6,65.0,79.0,0.67,100,8.33,23.3,19.7,87.0,1016.6,78.5,3.0,187.8,16.2,8,2015-04-12T06:02:46,2015-04-12T18:31:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,hyderabad,230.42405078773552,2015-04,2015,4,12,6,True,False,False
2015-04-13,56.39,71.09,14.17,13.36,27.53,10.392,1.13,13.04,40.11,0.8620000000000001,4.8180000000000005,133.0,Moderate,87.9,62.7,76.1,90.5,62.7,76.8,65.8,73.1,0.217,100,45.83,21.3,9.2,149.2,1015.1,66.7,3.1,224.7,19.3,8,2015-04-13T06:02:02,2015-04-13T18:31:45,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,hyderabad,235.69360223700323,2015-04,2015,4,13,0,True,False,False
2015-04-14,158.32,103.796,8.99,20.35,29.34,24.142,0.95,8.23,40.52,0.984,5.644,312.0,Very Poor,89.7,64.5,73.6,89.0,64.5,73.6,61.3,68.8,0.039,100,4.17,19.0,12.8,157.8,1014.2,54.1,3.1,248.4,21.6,9,2015-04-14T06:01:19,2015-04-14T18:31:58,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,hyderabad,240.9836397474245,2015-04,2015,4,14,1,True,False,False
2015-04-15,44.79,63.126,8.33,15.29,23.62,13.868,0.8,7.6,30.83,1.1780000000000002,6.94,179.0,Moderate,89.7,66.1,78.0,89.6,66.1,77.9,62.1,62.3,0.012,100,4.17,18.3,8.1,122.9,1014.5,37.8,3.5,265.6,22.9,9,2015-04-15T06:00:36,2015-04-15T18:32:12,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,hyderabad,250.60120793013465,2015-04,2015,4,15,2,True,False,False
2015-04-16,30.21,65.488,8.02,12.22,20.24,20.172,0.76,8.08,33.59,1.236,7.895999999999999,112.0,Moderate,89.7,68.1,78.9,89.5,68.1,79.2,63.6,63.0,0.008,100,4.17,16.1,10.3,105.9,1016.0,51.5,3.4,276.2,23.8,9,2015-04-16T05:59:54,2015-04-16T18:32:25,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,hyderabad,234.5392769407437,2015-04,2015,4,16,3,True,False,False
2015-04-17,39.04,79.95399999999998,11.03,15.82,26.86,12.294,0.84,9.56,39.94,1.808,10.611999999999998,106.0,Moderate,93.1,69.9,81.4,91.4,69.9,81.5,63.0,58.0,0.0,0,0.0,14.8,7.3,81.1,1014.2,38.0,3.5,271.4,23.4,10,2015-04-17T05:59:12,2015-04-17T18:32:39,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,268.30601556573475,2015-04,2015,4,17,4,True,False,False
2015-04-18,76.0,130.176,34.35,33.56,67.91,22.146,1.3,11.04,35.28,2.49,13.508,147.0,Moderate,98.7,69.9,84.2,96.1,69.9,83.6,59.2,48.5,0.0,0,0.0,12.5,8.1,131.5,1011.4,4.0,3.6,311.7,27.0,10,2015-04-18T05:58:31,2015-04-18T18:32:53,0.98,Clear,Clear conditions throughout the day.,clear-day,hyderabad,215.18392028862323,2015-04,2015,4,18,5,True,False,False
2015-04-19,54.25,116.404,10.01,21.04,31.05,18.404000000000003,1.0,8.83,41.52,1.186,5.978,139.0,Moderate,102.3,72.1,88.1,107.4,72.1,89.8,62.8,45.1,0.0,0,0.0,14.3,10.3,129.5,1011.6,13.6,3.7,288.7,25.0,10,2015-04-19T05:57:50,2015-04-19T18:33:07,0.0,Clear,Clear conditions throughout the day.,clear-day,hyderabad,247.5968381933328,2015-04,2015,4,19,6,True,False,False
2015-04-20,41.38,94.31000000000002,8.44,15.76,24.21,19.324,0.86,8.48,32.44,0.7580000000000001,4.236,118.0,Moderate,104.1,77.1,90.2,108.2,77.1,92.5,65.6,48.1,0.0,0,0.0,15.7,9.3,124.2,1013.0,14.2,3.8,295.7,25.3,10,2015-04-20T05:57:10,2015-04-20T18:33:21,0.05,Clear,Clear conditions throughout the day.,clear-day,hyderabad,239.9877097017909,2015-04,2015,4,20,0,True,False,False
2015-04-21,75.08,113.2,12.7,15.17,27.87,17.136000000000003,0.81,9.56,29.91,1.068,5.65,123.0,Moderate,104.1,77.3,90.1,109.6,77.3,91.9,64.2,46.5,0.0,0,0.0,17.7,10.3,149.5,1012.9,14.8,3.6,306.6,26.6,10,2015-04-21T05:56:30,2015-04-21T18:33:36,0.08,Clear,Clear conditions throughout the day.,clear-day,hyderabad,238.6902298220156,2015-04,2015,4,21,1,True,False,False
