Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmin,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-31,47.03,90.022,9.71,16.94,26.65,13.423999999999998,0.81,13.2,25.13,0.44,4.31,120.0,Moderate,75.3,63.6,55.1,0.024,100,16.67,14.3,9.2,110.3,1013.5,66.2,3.2,248.6,2015-03-31T06:11:57,2015-03-31T18:29:08,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,hyderabad,228.693575672826,2015-03,2015,3,31,1,True,False,False
2015-04-01,40.62,67.308,8.41,13.18,21.59,14.226,0.81,7.89,34.19,0.55,3.57,112.0,Moderate,73.7,62.6,46.4,0.0,0,0.0,11.9,8.1,158.3,1013.0,62.5,3.5,247.7,2015-04-01T06:11:10,2015-04-01T18:29:20,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,272.2424494218379,2015-04,2015,4,1,2,True,False,False
2015-04-06,83.0,116.046,9.72,12.91,22.63,18.702,0.89,8.89,33.67,0.2,2.02,141.0,Moderate,77.1,67.3,52.5,0.004,100,4.17,16.6,9.2,162.8,1008.5,19.2,3.2,292.5,2015-04-06T06:07:16,2015-04-06T18:30:18,0.56,Rain,Clear conditions throughout the day with late afternoon rain.,rain,hyderabad,241.9436089500597,2015-04,2015,4,6,0,True,False,False
2015-04-07,112.21,128.304,13.85,17.06,31.52,14.578,1.05,11.21,30.68,0.2,1.8,197.0,Moderate,75.5,66.9,54.7,0.0,0,0.0,18.3,11.4,131.7,1010.1,29.4,3.4,260.3,2015-04-07T06:06:30,2015-04-07T18:30:30,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,263.36635747459553,2015-04,2015,4,7,1,True,False,False
2015-04-08,38.67,70.938,8.38,9.28,17.66,12.654,0.73,7.58,23.53,0.22,2.2,177.0,Moderate,75.3,62.6,52.8,0.0,0,0.0,19.7,10.3,113.5,1012.4,38.6,3.4,286.9,2015-04-08T06:05:45,2015-04-08T18:30:42,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,204.69608842567536,2015-04,2015,4,8,2,True,False,False
2015-04-09,33.88,76.774,18.44,13.18,31.61,15.378,0.8,8.28,21.58,1.2560000000000002,6.494,104.0,Moderate,75.3,66.0,56.6,0.0,0,0.0,17.2,9.2,122.5,1013.0,42.5,3.4,277.0,2015-04-09T06:05:00,2015-04-09T18:30:55,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,hyderabad,261.7732347347542,2015-04,2015,4,9,3,True,False,False
2015-04-10,30.88,60.148,22.5,12.34,34.32,16.598000000000003,0.76,8.46,22.8,0.892,5.348,106.0,Moderate,73.5,69.3,65.4,0.079,100,4.17,16.3,10.3,141.3,1013.3,53.5,3.3,276.3,2015-04-10T06:04:15,2015-04-10T18:31:07,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,hyderabad,236.2000295490301,2015-04,2015,4,10,4,True,False,False
2015-04-11,42.88,79.66,14.84,17.22,32.06,13.668,0.87,8.13,32.93,1.618,9.81,105.0,Moderate,73.5,66.5,65.0,0.114,100,16.67,21.3,11.4,62.5,1013.8,76.3,2.9,171.0,2015-04-11T06:03:30,2015-04-11T18:31:20,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,hyderabad,271.89445712198784,2015-04,2015,4,11,5,True,False,False
2015-04-12,26.38,68.886,4.77,8.78,13.55,12.464,1.41,2.93,32.86,1.048,6.698,128.0,Moderate,66.3,65.0,79.0,0.67,100,8.33,23.3,19.7,87.0,1016.6,78.5,3.0,187.8,2015-04-12T06:02:46,2015-04-12T18:31:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,hyderabad,230.42405078773552,2015-04,2015,4,12,6,True,False,False
2015-04-13,56.39,71.09,14.17,13.36,27.53,10.392,1.13,13.04,40.11,0.8620000000000001,4.8180000000000005,133.0,Moderate,62.7,65.8,73.1,0.217,100,45.83,21.3,9.2,149.2,1015.1,66.7,3.1,224.7,2015-04-13T06:02:02,2015-04-13T18:31:45,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,hyderabad,235.69360223700323,2015-04,2015,4,13,0,True,False,False
