Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-21,48.59,92.564,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,91.0,Satisfactory,98.6,69.2,83.3,94.1,69.2,81.4,50.2,38.9,0.0,0,0.0,22.1,12.8,101.3,1018.6,3.8,4.8,318.3,27.5,10,2015-03-21T06:23:30,2015-03-21T18:30:36,0.03,Clear,Clear conditions throughout the day.,clear-day,bengaluru,227.73857602055085,2015-03,2015,3,21,5,True,False,False
2015-03-22,47.38,92.564,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,120.0,Moderate,100.4,69.8,84.7,96.2,69.8,82.8,49.1,32.9,0.0,0,0.0,20.6,15.0,92.4,1017.8,10.5,5.1,315.5,27.0,10,2015-03-22T06:22:51,2015-03-22T18:30:40,0.06,Clear,Clear conditions throughout the day.,clear-day,bengaluru,228.5264358995292,2015-03,2015,3,22,6,True,False,False
2015-03-23,65.65,99.27000000000001,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,154.0,Moderate,98.6,73.4,85.2,96.1,73.4,84.5,57.5,42.2,0.0,0,0.0,16.6,7.5,112.6,1016.1,35.6,4.7,265.9,23.0,10,2015-03-23T06:22:11,2015-03-23T18:30:44,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,270.13268321135496,2015-03,2015,3,23,0,True,False,False
2015-03-24,60.47,95.752,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,119.0,Moderate,100.4,72.5,85.8,97.7,72.5,85.1,58.6,44.0,0.0,0,0.0,23.0,11.0,91.8,1015.1,30.1,4.8,290.0,25.0,10,2015-03-24T06:21:31,2015-03-24T18:30:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,188.52162985586824,2015-03,2015,3,24,1,True,False,False
2015-03-25,62.56,89.94,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,232.0,Poor,97.7,73.5,84.9,94.5,73.5,84.3,59.1,45.7,0.0,0,0.0,23.9,12.1,114.1,1015.5,35.4,4.6,278.0,23.9,10,2015-03-25T06:20:51,2015-03-25T18:30:51,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,244.70422397485908,2015-03,2015,3,25,2,True,False,False
2015-03-26,60.73,143.398,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,132.0,Moderate,96.8,71.6,84.2,94.1,71.6,83.3,59.4,48.4,0.0,0,0.0,23.7,15.0,109.2,1017.3,29.3,4.7,294.6,25.6,10,2015-03-26T06:20:11,2015-03-26T18:30:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,229.40068386088004,2015-03,2015,3,26,3,True,False,False
2015-03-27,42.1,112.05999999999999,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,123.0,Moderate,97.7,68.7,82.8,94.5,68.7,81.7,58.6,50.9,0.0,0,0.0,20.6,13.9,99.2,1017.7,24.0,4.6,306.4,26.3,10,2015-03-27T06:19:31,2015-03-27T18:30:58,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,bengaluru,246.22208174919524,2015-03,2015,3,27,4,True,False,False
2015-03-28,40.0,78.36800000000001,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,152.0,Moderate,96.8,68.6,83.2,92.8,68.6,81.9,56.6,48.0,0.0,0,0.0,20.1,13.2,114.5,1016.6,5.5,5.0,318.9,27.7,10,2015-03-28T06:18:51,2015-03-28T18:31:02,0.26,Clear,Clear conditions throughout the day.,clear-day,bengaluru,231.1640879521252,2015-03,2015,3,28,5,True,False,False
2015-03-29,32.16,54.468,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,143.0,Moderate,98.6,69.2,84.2,95.6,69.2,83.4,59.4,49.2,0.0,0,0.0,19.0,11.4,117.4,1015.3,18.2,4.7,313.0,27.1,10,2015-03-29T06:18:12,2015-03-29T18:31:06,0.29,Clear,Clear conditions throughout the day.,clear-day,bengaluru,229.72743561266088,2015-03,2015,3,29,6,True,False,False
2015-03-30,30.78,75.244,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,80.0,Satisfactory,96.8,71.0,83.6,94.6,71.0,83.2,59.5,47.6,0.0,0,0.0,20.6,8.6,130.2,1015.2,26.0,5.2,307.5,26.6,10,2015-03-30T06:17:32,2015-03-30T18:31:09,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,243.2324168587478,2015-03,2015,3,30,0,True,False,False
2015-03-31,38.99,132.558,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,90.0,Satisfactory,93.2,73.2,83.2,95.8,73.2,84.8,68.0,63.6,0.039,100,4.17,20.6,8.1,136.6,1015.5,56.6,4.2,242.2,20.8,9,2015-03-31T06:16:52,2015-03-31T18:31:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,226.08376888204177,2015-03,2015,3,31,1,True,False,False
2015-04-01,36.42,67.47,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,151.0,Moderate,95.0,71.3,84.3,97.0,71.3,86.8,68.1,61.5,0.052,100,33.33,19.0,12.6,127.9,1015.5,61.7,5.0,225.6,19.5,8,2015-04-01T06:16:13,2015-04-01T18:31:17,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,268.32048759230634,2015-04,2015,4,1,2,True,False,False
2015-04-02,38.15,96.252,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,123.0,Moderate,96.8,73.7,85.9,96.3,73.7,87.1,65.6,55.9,0.004,100,4.17,16.3,9.2,173.2,1014.5,46.4,4.8,261.6,22.7,8,2015-04-02T06:15:33,2015-04-02T18:31:21,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,bengaluru,217.56977852678267,2015-04,2015,4,2,3,True,False,False
2015-04-03,35.11,72.896,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,178.0,Moderate,97.7,74.0,85.7,100.0,74.0,89.5,68.9,60.7,0.0,0,0.0,18.6,11.0,258.5,1013.2,49.4,4.2,242.9,20.9,9,2015-04-03T06:14:54,2015-04-03T18:31:24,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,254.7312559383683,2015-04,2015,4,3,4,True,False,False
2015-04-04,36.68,97.466,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,101.0,Moderate,98.6,73.5,86.7,99.2,73.5,88.0,65.0,52.9,0.0,0,0.0,17.2,8.7,310.1,1011.5,57.6,4.7,268.6,23.1,9,2015-04-04T06:14:15,2015-04-04T18:31:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,230.5804946931244,2015-04,2015,4,4,5,True,False,False
